Emu Log - Tue Jul 20 10:34:13 2021

=======================================================================

0x0000 - 0x000f    f0  90  90  90  f0  20  60  20  20  70  f0  10  f0  80  f0  f0  
0x0fd3    0x0000         
0x0fd5    0x0000         
0x0fd7    0x0000         
0x0fd9    0x0000         
0x0fdb    0x0000         
0x0fdd    0x0000         
0x0fdf    0x0000         
0x0fe1    0x0000         
0x0fe3    0x0000         
0x0fe5    0x0000         
0x0fe7    0x0000         
0x0fe9    0x0000         
0x0feb    0x0000         
0x0fed    0x0000         
0x0fef    0x0000         
0x0ff1    0x0000         
0x0ff3    0x0000         
0x0ff5    0x0000         
0x0ff7    0x0000         
0x0ff9    0x0000         
0x0ffb    0x0000         
0x0ffd    0x0000         
0x0fff    0x00ff         
0x1001    0x1000         JMP 0x000
0x0002    0x9090         SNE V0, V9
0x0006    0x6020         LD V0, 0x20
0x0008    0x2070         CALL 0x070
0x0072    0x0000         
0x0074    0x0000         
0x0076    0x0000         
0x0078    0x0000         
0x007a    0x0000         
0x007c    0x0000         
0x007e    0x0000         
0x0080    0x0000         
0x0082    0x0000         
0x0084    0x0000         
0x0086    0x0000         
0x0088    0x0000         
0x008a    0x0000         
0x008c    0x0000         
0x008e    0x0000         
0x0090    0x0000         
0x0092    0x0000         
0x0094    0x0000         
0x0096    0x0000         
0x0098    0x0000         
0x009a    0x0000         
0x009c    0x0000         
0x009e    0x0000         
0x00a0    0x0000         
0x00a2    0x0000         
0x00a4    0x0000         
0x00a6    0x0000         
0x00a8    0x0000         
0x00aa    0x0000         
0x00ac    0x0000         
0x00ae    0x0000         
0x00b0    0x0000         
0x00b2    0x0000         
0x00b4    0x0000         
0x00b6    0x0000         
0x00b8    0x0000         
0x00ba    0x0000         
0x00bc    0x0000         
0x00be    0x0000         
0x00c0    0x0000         
0x00c2    0x0000         
0x00c4    0x0000         
0x00c6    0x0000         
0x00c8    0x0000         
0x00ca    0x0000         
0x00cc    0x0000         
0x00ce    0x0000         
0x00d0    0x0000         
0x00d2    0x0000         
0x00d4    0x0000         
0x00d6    0x0000         
0x00d8    0x0000         
0x00da    0x0000         
0x00dc    0x0000         
0x00de    0x0000         
0x00e0    0x0000         
0x00e2    0x0000         
0x00e4    0x0000         
0x00e6    0x0000         
0x00e8    0x0000         
0x00ea    0x0000         
0x00ec    0x0000         
0x00ee    0x0000         
0x00f0    0x0000         
0x00f2    0x0000         
0x00f4    0x0000         
0x00f6    0x0000         
0x00f8    0x0000         
0x00fa    0x0000         
0x00fc    0x0000         
0x00fe    0x0000         
0x0100    0x0000         
0x0102    0x0000         
0x0104    0x0000         
0x0106    0x0000         
0x0108    0x0000         
0x010a    0x0000         
0x010c    0x0000         
0x010e    0x0000         
0x0110    0x0000         
0x0112    0x0000         
0x0114    0x0000         
0x0116    0x0000         
0x0118    0x0000         
0x011a    0x0000         
0x011c    0x0000         
0x011e    0x0000         
0x0120    0x0000         
0x0122    0x0000         
0x0124    0x0000         
0x0126    0x0000         
0x0128    0x0000         
0x012a    0x0000         
0x012c    0x0000         
0x012e    0x0000         
0x0130    0x0000         
0x0132    0x0000         
0x0134    0x0000         
0x0136    0x0000         
0x0138    0x0000         
0x013a    0x0000         
0x013c    0x0000         
0x013e    0x0000         
0x0140    0x0000         
0x0142    0x0000         
0x0144    0x0000         
0x0146    0x0000         
0x0148    0x0000         
0x014a    0x0000         
0x014c    0x0000         
0x014e    0x0000         
0x0150    0x0000         
0x0152    0x0000         
0x0154    0x0000         
0x0156    0x0000         
0x0158    0x0000         
0x015a    0x0000         
0x015c    0x0000         
0x015e    0x0000         
0x0160    0x0000         
0x0162    0x0000         
0x0164    0x0000         
0x0166    0x0000         
0x0168    0x0000         
0x016a    0x0000         
0x016c    0x0000         
0x016e    0x0000         
0x0170    0x0000         
0x0172    0x0000         
0x0174    0x0000         
0x0176    0x0000         
0x0178    0x0000         
0x017a    0x0000         
0x017c    0x0000         
0x017e    0x0000         
0x0180    0x0000         
0x0182    0x0000         
0x0184    0x0000         
0x0186    0x0000         
0x0188    0x0000         
0x018a    0x0000         
0x018c    0x0000         
0x018e    0x0000         
0x0190    0x0000         
0x0192    0x0000         
0x0194    0x0000         
0x0196    0x0000         
0x0198    0x0000         
0x019a    0x0000         
0x019c    0x0000         
0x019e    0x0000         
0x01a0    0x0000         
0x01a2    0x0000         
0x01a4    0x0000         
0x01a6    0x0000         
0x01a8    0x0000         
0x01aa    0x0000         
0x01ac    0x0000         
0x01ae    0x0000         
0x01b0    0x0000         
0x01b2    0x0000         
0x01b4    0x0000         
0x01b6    0x0000         
0x01b8    0x0000         
0x01ba    0x0000         
0x01bc    0x0000         
0x01be    0x0000         
0x01c0    0x0000         
0x01c2    0x0000         
0x01c4    0x0000         
0x01c6    0x0000         
0x01c8    0x0000         
0x01ca    0x0000         
0x01cc    0x0000         
0x01ce    0x0000         
0x01d0    0x0000         
0x01d2    0x0000         
0x01d4    0x0000         
0x01d6    0x0000         
0x01d8    0x0000         
0x01da    0x0000         
0x01dc    0x0000         
0x01de    0x0000         
0x01e0    0x0000         
0x01e2    0x0000         
0x01e4    0x0000         
0x01e6    0x0000         
0x01e8    0x0000         
0x01ea    0x0000         
0x01ec    0x0000         
0x01ee    0x0000         
0x01f0    0x0000         
0x01f2    0x0000         
0x01f4    0x0000         
0x01f6    0x0000         
0x01f8    0x0000         
0x01fa    0x0000         
0x01fc    0x0000         
0x01fe    0x0000         
0x0200    0x00e0         CLS
0x0202    0xa22a         LD I, 0x22a
0x0204    0x600c         LD V0, 0x0c
0x0206    0x6108         LD V1, 0x08
0x0208    0xd01f         DRW V0, V1, f
0x020a    0x7009         ADD V0, 0x09
0x020c    0xa239         LD I, 0x239
0x020e    0xd01f         DRW V0, V1, f
0x0210    0xa248         LD I, 0x248
0x0212    0x7008         ADD V0, 0x08
0x0214    0xd01f         DRW V0, V1, f
0x0216    0x7004         ADD V0, 0x04
0x0218    0xa257         LD I, 0x257
0x021a    0xd01f         DRW V0, V1, f
0x021c    0x7008         ADD V0, 0x08
0x021e    0xa266         LD I, 0x266
0x0220    0xd01f         DRW V0, V1, f
0x0222    0x7008         ADD V0, 0x08
0x0224    0xa275         LD I, 0x275
0x0226    0xd01f         DRW V0, V1, f
0x0228    0x1228         JMP 0x228
0x022a    0xff00         
0x022c    0xff00         
0x022e    0x3c00         SE Vc, 0x00
0x0232    0x3c00         SE Vc, 0x00
0x0236    0xff00         
0x0238    0xffff         
0x023a    0x00ff         
0x023c    0x0038         
0x023e    0x003f         
0x0240    0x003f         
0x0242    0x0038         
0x0244    0x00ff         
0x0246    0x00ff         
0x0248    0x8000         LD V0, V0
0x024a    0xe000         
0x024c    0xe000         
0x024e    0x8000         LD V0, V0
0x0250    0x8000         LD V0, V0
0x0252    0xe000         
0x0254    0xe000         
0x0256    0x80f8         
0x0258    0x00fc         
0x025a    0x003e         
0x025c    0x003f         
0x025e    0x003b         
0x0260    0x0039         
0x0262    0x00f8         
0x0264    0x00f8         
0x0266    0x0300         
0x0268    0x0700         
0x026a    0x0f00         
0x026c    0xbf00         JMP V0, 0xf00
0x0f33    0x0000         
0x0f35    0x0000         
0x0f37    0x0000         
0x0f39    0x0000         
0x0f3b    0x0000         
0x0f3d    0x0000         
0x0f3f    0x0000         
0x0f41    0x0000         
0x0f43    0x0000         
0x0f45    0x0000         
0x0f47    0x0000         
0x0f49    0x0000         
0x0f4b    0x0000         
0x0f4d    0x0000         
0x0f4f    0x0000         
0x0f51    0x0000         
0x0f53    0x0000         
0x0f55    0x0000         
0x0f57    0x0000         
0x0f59    0x0000         
0x0f5b    0x0000         
0x0f5d    0x0000         
0x0f5f    0x0000         
0x0f61    0x0000         
0x0f63    0x0000         
0x0f65    0x0000         
0x0f67    0x0000         
0x0f69    0x0000         
0x0f6b    0x0000         
0x0f6d    0x0000         
0x0f6f    0x0000         
0x0f71    0x0000         
0x0f73    0x0000         
0x0f75    0x0000         
0x0f77    0x0000         
0x0f79    0x0000         
0x0f7b    0x0000         
0x0f7d    0x0000         
0x0f7f    0x0000         
0x0f81    0x0000         
0x0f83    0x0000         
0x0f85    0x0000         
0x0f87    0x0000         
0x0f89    0x0000         
0x0f8b    0x0000         
0x0f8d    0x0000         
0x0f8f    0x0000         
0x0f91    0x0000         
0x0f93    0x0000         
0x0f95    0x0000         
0x0f97    0x0000         
0x0f99    0x0000         
0x0f9b    0x0000         
0x0f9d    0x0000         
0x0f9f    0x0000         
0x0fa1    0x0000         
0x0fa3    0x0000         
0x0fa5    0x0000         
0x0fa7    0x0000         
0x0fa9    0x0000         
0x0fab    0x0000         
0x0fad    0x0000         
0x0faf    0x0000         
0x0fb1    0x0000         
0x0fb3    0x0000         
0x0fb5    0x0000         
0x0fb7    0x0000         
0x0fb9    0x0000         
0x0fbb    0x0000         
0x0fbd    0x0000         
0x0fbf    0x0000         
0x0fc1    0x0000         
0x0fc3    0x0000         
0x0fc5    0x0000         
0x0fc7    0x0000         
0x0fc9    0x0000         
0x0fcb    0x0000         
0x0fcd    0x0000         
0x0fcf    0x0000         
0x0fd1    0x0000         
0x0fd3    0x0000         
0x0fd5    0x0000         
0x0fd7    0x0000         
0x0fd9    0x0000         
0x0fdb    0x0000         
0x0fdd    0x0000         
0x0fdf    0x0000         
0x0fe1    0x0000         
0x0fe3    0x0000         
0x0fe5    0x0000         
0x0fe7    0x0000         
0x0fe9    0x0000         
0x0feb    0x0000         
0x0fed    0x0000         
0x0fef    0x0000         
0x0ff1    0x0000         
0x0ff3    0x0000         
0x0ff5    0x0000         
0x0ff7    0x0000         
0x0ff9    0x0000         
0x0ffb    0x0000         
0x0ffd    0x0000         
0x0fff    0x00ff         
0x1001    0x1000         JMP 0x000
0x0002    0x9090         SNE V0, V9
0x0006    0x6020         LD V0, 0x20
0x0008    0x2070         CALL 0x070
0x0072    0x0000         
0x0074    0x0000         
0x0076    0x0000         
0x0078    0x0000         
0x007a    0x0000         
0x007c    0x0000         
0x007e    0x0000         
0x0080    0x0000         
0x0082    0x0000         
0x0084    0x0000         
0x0086    0x0000         
0x0088    0x0000         
0x008a    0x0000         
0x008c    0x0000         
0x008e    0x0000         
0x0090    0x0000         
0x0092    0x0000         
0x0094    0x0000         
0x0096    0x0000         
0x0098    0x0000         
0x009a    0x0000         
0x009c    0x0000         
0x009e    0x0000         
0x00a0    0x0000         
0x00a2    0x0000         
0x00a4    0x0000         
0x00a6    0x0000         
0x00a8    0x0000         
0x00aa    0x0000         
0x00ac    0x0000         
0x00ae    0x0000         
0x00b0    0x0000         
0x00b2    0x0000         
0x00b4    0x0000         
0x00b6    0x0000         
0x00b8    0x0000         
0x00ba    0x0000         
0x00bc    0x0000         
0x00be    0x0000         
0x00c0    0x0000         
0x00c2    0x0000         
0x00c4    0x0000         
0x00c6    0x0000         
0x00c8    0x0000         
0x00ca    0x0000         
0x00cc    0x0000         
0x00ce    0x0000         
0x00d0    0x0000         
0x00d2    0x0000         
0x00d4    0x0000         
0x00d6    0x0000         
0x00d8    0x0000         
0x00da    0x0000         
0x00dc    0x0000         
0x00de    0x0000         
0x00e0    0x0000         
0x00e2    0x0000         
0x00e4    0x0000         
0x00e6    0x0000         
0x00e8    0x0000         
0x00ea    0x0000         
0x00ec    0x0000         
0x00ee    0x0000         
0x00f0    0x0000         
0x00f2    0x0000         
0x00f4    0x0000         
0x00f6    0x0000         
0x00f8    0x0000         
0x00fa    0x0000         
0x00fc    0x0000         
0x00fe    0x0000         
0x0100    0x0000         
0x0102    0x0000         
0x0104    0x0000         
0x0106    0x0000         
0x0108    0x0000         
0x010a    0x0000         
0x010c    0x0000         
0x010e    0x0000         
0x0110    0x0000         
0x0112    0x0000         
0x0114    0x0000         
0x0116    0x0000         
0x0118    0x0000         
0x011a    0x0000         
0x011c    0x0000         
0x011e    0x0000         
0x0120    0x0000         
0x0122    0x0000         
0x0124    0x0000         
0x0126    0x0000         
0x0128    0x0000         
0x012a    0x0000         
0x012c    0x0000         
0x012e    0x0000         
0x0130    0x0000         
0x0132    0x0000         
0x0134    0x0000         
0x0136    0x0000         
0x0138    0x0000         
0x013a    0x0000         
0x013c    0x0000         
0x013e    0x0000         
0x0140    0x0000         
0x0142    0x0000         
0x0144    0x0000         
0x0146    0x0000         
0x0148    0x0000         
0x014a    0x0000         
0x014c    0x0000         
0x014e    0x0000         
0x0150    0x0000         
0x0152    0x0000         
0x0154    0x0000         
0x0156    0x0000         
0x0158    0x0000         
0x015a    0x0000         
0x015c    0x0000         
0x015e    0x0000         
0x0160    0x0000         
0x0162    0x0000         
0x0164    0x0000         
0x0166    0x0000         
0x0168    0x0000         
0x016a    0x0000         
